CONTAINER ID   IMAGE                             COMMAND                  CREATED              STATUS              PORTS                                                             NAMES
df00238cbde7   task3-apollo-gateway              "docker-entrypoint.s…"   About a minute ago   Up About a minute   0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp                       task3-apollo-gateway-1
2cad418e6b9d   task3-hotel-subgraph              "docker-entrypoint.s…"   About a minute ago   Up About a minute   0.0.0.0:4002->4002/tcp, [::]:4002->4002/tcp                       task3-hotel-subgraph-1
2e6997f5c58a   task3-booking-subgraph            "docker-entrypoint.s…"   About a minute ago   Up About a minute   0.0.0.0:4001->4001/tcp, [::]:4001->4001/tcp                       task3-booking-subgraph-1
01982b805316   confluentinc/cp-zookeeper:7.2.1   "/etc/confluent/dock…"   11 hours ago         Up 6 hours          2888/tcp, 0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp, 3888/tcp   task2-zookeeper-1
78bde14ead97   postgres:17.5                     "docker-entrypoint.s…"   11 hours ago         Up 6 hours          0.0.0.0:5435->5432/tcp, [::]:5435->5432/tcp                       booking-history-service-db
26da9691d7a2   confluentinc/cp-kafka:7.2.1       "/etc/confluent/dock…"   11 hours ago         Up 6 hours          0.0.0.0:9092-9093->9092-9093/tcp, [::]:9092-9093->9092-9093/tcp   task2-kafka-1
07973f9b70bc   task2-monolith                    "java -jar app.jar"      11 hours ago         Up 6 hours          0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp                       hotelio-monolith
4babf7ec6c05   postgres:17.5                     "docker-entrypoint.s…"   11 hours ago         Up 6 hours          0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp                       booking-service-db
32590d8be8c6   postgres:15                       "docker-entrypoint.s…"   11 hours ago         Up 6 hours          0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                       hotelio-db
86e01d8902cd   task2-booking-service             "java -jar app.jar"      11 hours ago         Up 6 hours          0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp                       booking-service
4123b37e7b99   task2-booking-history-service     "java -jar app.jar"      11 hours ago         Up 6 hours          9090/tcp                                                          booking-history-service
